2004;The Sims 2;Life simulation;Electronic Arts;PC;
2004;World of Warcraft;MMORPG;Blizzard Entertainment;PC, Macintosh;
2005;Call of Duty 2;First-person shooter;Activision;PC;
2005;Civilization IV;Turn-based strategy;2K Games;PC;
2005;Devil May Cry 3: Dante's Awakening;Action-adventure;Capcom;PlayStation 2;
2005;God of War;Action-adventure;Sony Computer Entertainment;PlayStation 2;
2005;Guitar Hero;Rhythm;RedOctane;PlayStation 2;
2005;Psychonauts;Platform;Majesco;PC, Xbox;
2005;Resident Evil 4;Survival horror;Capcom;GameCube;
2005;Shadow of the Colossus;Action-adventure;Sony Computer Entertainment;PlayStation 2;
2005;Tom Clancy's Splinter Cell: Chaos Theory;Stealth;Ubisoft;GameCube, PC, PlayStation 2, Xbox;
2006;Company of Heroes;Real-time strategy;THQ;PC;
2006;The Elder Scrolls IV: Oblivion;Role-playing;Bethesda Softworks;PC, Xbox 360;
2006;Gears of War;Third-person shooter;Microsoft Game Studios;Xbox 360;
2006;Hitman: Blood Money;Stealth;Eidos Interactive;PC, PlayStation 2, Xbox, Xbox 360;
2006;Ōkami;Action-adventure;Capcom;PlayStation 2;
2006;Wii Sports;Sports;Nintendo;Wii;
2007;BioShock;First-person shooter;2K Games;PC, Xbox 360;
2007;Call of Duty 4: Modern Warfare;First-person shooter;Activision;PC, PlayStation 3, Xbox 360;
2007;God of War II;Action-adventure;Sony Computer Entertainment;PlayStation 2;
2007;Halo 3;First-person shooter;Microsoft Game Studios;Xbox 360;
2007;Mass Effect;Action role-playing;Microsoft Game Studios;Xbox 360;
2007;Portal;Puzzle-platformer;Valve;PC, Xbox 360;
2007;Rock Band;Rhythm;MTV Games;PlayStation 3, Xbox 360;
2007;Super Mario Galaxy;Platform;Nintendo;Wii;
2007;Team Fortress 2;First-person shooter;Valve;PC, Xbox 360;
2007;The World Ends with You;Role-playing;Square Enix;Nintendo DS;
2008;Braid;Puzzle-platformer;Microsoft Game Studios;Xbox 360;
2008;Burnout Paradise;Racing;Electronic Arts;PC, PlayStation 3, Xbox 360;
2008;Dead Space;Survival horror;Electronic Arts;PlayStation 3, Xbox 360;
2008;Fallout 3;Action role-playing;Bethesda Softworks;PC, PlayStation 3, Xbox 360;
2008;Gears of War 2;Third-person shooter;Microsoft Game Studios;Xbox 360;
2008;Grand Theft Auto IV;Action-adventure;Rockstar Games;PlayStation 3, Xbox 360;
2008;Left 4 Dead;First-person shooter;Valve;PC, Xbox 360;
2008;LittleBigPlanet;Platform;Sony Computer Entertainment;PlayStation 3;
2008;Persona 4;Role-playing;Atlus;PlayStation 2;
2008;Rock Band 2;Rhythm;MTV Games;Xbox 360;
2008;Spelunky;Platform;Derek Yu;PC;
2008;Street Fighter IV;Fighting;Capcom;Arcade;
2008;Valkyria Chronicles;Tactical role-playing;Sega;PlayStation 3;
2009;Angry Birds;Puzzle;Rovio Entertainment;Maemo, iOS;
2009;Assassin's Creed II;Action-adventure;Ubisoft;PlayStation 3, Xbox 360;
2009;Batman: Arkham Asylum;Action-adventure;Eidos Interactive, Warner Bros. Interactive Entertainment;PlayStation 3, Xbox 360;
2009;Bayonetta;Action;Sega;PlayStation 3, Xbox 360;
2009;Demon's Souls;Action role-playing;Sony Computer Entertainment;PlayStation 3;
2009;Dragon Age: Origins;Role-playing;Electronic Arts;PC, PlayStation 3, Xbox 360;
2009;League of Legends;MOBA;Riot Games;PC;
2009;Left 4 Dead 2;First-person shooter;Valve;PC, Xbox 360;
2009;Uncharted 2: Among Thieves;Action-adventure;Sony Computer Entertainment;PlayStation 3;
2010;Heavy Rain;Adventure;Sony Computer Entertainment;PlayStation 3;
2010;Limbo;Platform;Microsoft Game Studios;Xbox 360;
2010;Mass Effect 2;Action role-playing;Electronic Arts;PC, Xbox 360;
2010;Red Dead Redemption;Action-adventure;Rockstar Games;PlayStation 3, Xbox 360;
2010;Rock Band 3;Rhythm;MTV Games;PlayStation 3, Xbox 360, Wii, Nintendo DS;
2010;StarCraft II: Wings of Liberty;Real-time strategy;Blizzard Entertainment;PC, Macintosh;
2010;Super Mario Galaxy 2;Platform;Nintendo;Wii;
2010;Super Meat Boy;Platform;Team Meat;Xbox 360;
2011;Batman: Arkham City;Action-adventure;Warner Bros. Interactive Entertainment;PlayStation 3, Xbox 360;
2011;Dark Souls;Action role-playing;From Software;PlayStation 3, Xbox 360;
2011;The Elder Scrolls V: Skyrim;Action role-playing;Bethesda Softworks;PC, PlayStation 3, Xbox 360;
2011;Minecraft;Sandbox;Mojang;PC;
2011;Portal 2;Puzzle-platformer;Valve;PC, PlayStation 3, Xbox 360;
2012;Dishonored;Stealth;Bethesda Softworks;PC, PlayStation 3, Xbox 360;
2012;Far Cry 3;First-person shooter;Ubisoft;PC, PlayStation 3, Xbox 360;
2012;Journey;Adventure;Sony Computer Entertainment;PlayStation 3;
2012;Hotline Miami;Action;Devolver Digital;PC;
2012;The Walking Dead;Adventure;Telltale Games;PC, PlayStation 3, Xbox 360;
2012;XCOM: Enemy Unknown;Turn-based strategy;2K Games;PC, PlayStation 3, Xbox 360;
2013;BioShock Infinite;First-person shooter;2K Games;PC, PlayStation 3, Xbox 360;
2013;Dota 2;MOBA;Valve;PC;
2013;Grand Theft Auto V;Action-adventure;Rockstar Games;PlayStation 3, Xbox 360;
2013;The Last of Us;Action-adventure;Sony Computer Entertainment;PlayStation 3;
2014;Destiny;First-person shooter;Bungie;PlayStation 3, PlayStation 4, Xbox 360, Xbox One;
2015;Bloodborne;Action role-playing;Sony Computer Entertainment;PlayStation 4;
2015;Undertale;Role-playing;Toby Fox;PC, Macintosh;
2015;The Witcher III: Wild Hunt;Action role-playing;CD Projekt;PC, PlayStation 4, Xbox One;
2016;Inside;Platform;Playdead;Xbox One;
2016;Overwatch;First-person shooter;Blizzard Entertainment;PC, PlayStation 4, Xbox One;
2016;Stardew Valley;Simulation;ConcernedApe;PC;
2017;The Legend of Zelda: Breath of the Wild;Action-adventure;Nintendo;Nintendo Switch, Wii U;
2017;Super Mario Odyssey;Platform;Nintendo;Nintendo Switch;
